Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT4,NO,04/01/2015 00:00,75.80000,ug m-3,R
CT4,NO,04/01/2015 01:00,44.50000,ug m-3,R
CT4,NO,04/01/2015 02:00,36.20000,ug m-3,R
CT4,NO,04/01/2015 03:00,34.00000,ug m-3,R
CT4,NO,04/01/2015 04:00,26.60000,ug m-3,R
CT4,NO,04/01/2015 05:00,51.50000,ug m-3,R
CT4,NO,04/01/2015 06:00,58.30000,ug m-3,R
CT4,NO,04/01/2015 07:00,116.50000,ug m-3,R
CT4,NO,04/01/2015 08:00,108.90000,ug m-3,R
CT4,NO,04/01/2015 09:00,104.40000,ug m-3,R
CT4,NO,04/01/2015 10:00,106.60000,ug m-3,R
CT4,NO,04/01/2015 11:00,70.10000,ug m-3,R
CT4,NO,04/01/2015 12:00,76.40000,ug m-3,R
CT4,NO,04/01/2015 13:00,59.50000,ug m-3,R
CT4,NO,04/01/2015 14:00,65.40000,ug m-3,R
CT4,NO,04/01/2015 15:00,47.10000,ug m-3,R
CT4,NO,04/01/2015 16:00,56.30000,ug m-3,R
CT4,NO,04/01/2015 17:00,67.40000,ug m-3,R
CT4,NO,04/01/2015 18:00,84.10000,ug m-3,R
CT4,NO,04/01/2015 19:00,61.20000,ug m-3,R
CT4,NO,04/01/2015 20:00,36.10000,ug m-3,R
CT4,NO,04/01/2015 21:00,99.10000,ug m-3,R
CT4,NO,04/01/2015 22:00,61.00000,ug m-3,R
CT4,NO,04/01/2015 23:00,47.30000,ug m-3,R
CT4,NO,05/01/2015 00:00,50.30000,ug m-3,R
CT4,NO,05/01/2015 01:00,25.30000,ug m-3,R
CT4,NO,05/01/2015 02:00,17.70000,ug m-3,R
CT4,NO,05/01/2015 03:00,9.90000,ug m-3,R
CT4,NO,05/01/2015 04:00,21.50000,ug m-3,R
CT4,NO,05/01/2015 05:00,25.80000,ug m-3,R
CT4,NO,05/01/2015 06:00,103.10000,ug m-3,R
CT4,NO,05/01/2015 07:00,318.29999,ug m-3,R
CT4,NO,05/01/2015 08:00,223.70000,ug m-3,R
CT4,NO,05/01/2015 09:00,268.60001,ug m-3,R
CT4,NO,05/01/2015 10:00,221.20000,ug m-3,R
CT4,NO,05/01/2015 11:00,278.50000,ug m-3,R
CT4,NO,05/01/2015 12:00,171.50000,ug m-3,R
CT4,NO,05/01/2015 13:00,129.20000,ug m-3,R
CT4,NO,05/01/2015 14:00,150.20000,ug m-3,R
CT4,NO,05/01/2015 15:00,113.50000,ug m-3,R
CT4,NO,05/01/2015 16:00,122.10000,ug m-3,R
CT4,NO,05/01/2015 17:00,149.70000,ug m-3,R
CT4,NO,05/01/2015 18:00,114.10000,ug m-3,R
CT4,NO,05/01/2015 19:00,105.10000,ug m-3,R
CT4,NO,05/01/2015 20:00,43.80000,ug m-3,R
CT4,NO,05/01/2015 21:00,41.30000,ug m-3,R
CT4,NO,05/01/2015 22:00,124.20000,ug m-3,R
CT4,NO,05/01/2015 23:00,56.90000,ug m-3,R
CT4,NO,06/01/2015 00:00,14.40000,ug m-3,R
CT4,NO,06/01/2015 01:00,4.90000,ug m-3,R
CT4,NO,06/01/2015 02:00,2.70000,ug m-3,R
CT4,NO,06/01/2015 03:00,1.70000,ug m-3,R
CT4,NO,06/01/2015 04:00,5.80000,ug m-3,R
CT4,NO,06/01/2015 05:00,5.40000,ug m-3,R
CT4,NO,06/01/2015 06:00,28.70000,ug m-3,R
CT4,NO,06/01/2015 07:00,92.50000,ug m-3,R
CT4,NO,06/01/2015 08:00,131.20000,ug m-3,R
CT4,NO,06/01/2015 09:00,119.30000,ug m-3,R
